id,price,price_per_guest,accommodates,room_type,neighbourhood_cleansed,minimum_nights,availability_365,estimated_occupancy_l365d,estimated_revenue_l365d,host_is_superhost,host_response_rate,host_acceptance_rate
53386951,2089.0,522.25,4.0,Entire home/apt,Cuauhtémoc,3.0,177.0,0.0,0.0,f,0.0,0.0
25170031,1392.0,696.0,2.0,Entire home/apt,Cuauhtémoc,2.0,307.0,240.0,334080.0,t,1.0,0.99
1146515553530749012,1550.0,387.5,4.0,Entire home/apt,Cuauhtémoc,30.0,291.0,255.0,395250.0,f,0.99,1.0
913036088909257184,1773.0,886.5,2.0,Private room,Miguel Hidalgo,1.0,119.0,126.0,223398.0,t,1.0,1.0
1025585675911088592,638.0,319.0,2.0,Private room,Venustiano Carranza,1.0,269.0,174.0,111012.0,t,1.0,0.99
15813157,350.0,350.0,1.0,Private room,Benito Juárez,1.0,360.0,0.0,0.0,f,0.0,0.0
17574415,1325.0,662.5,2.0,Entire home/apt,Cuauhtémoc,3.0,242.0,60.0,79500.0,,1.0,0.97
48210434,541.0,541.0,1.0,Private room,Miguel Hidalgo,1.0,356.0,255.0,137955.0,f,1.0,0.99
650663661521242033,1039.0,259.75,4.0,Entire home/apt,Cuauhtémoc,1.0,239.0,222.0,230658.0,t,1.0,0.99
1337103271319669124,878.0,439.0,2.0,Private room,Coyoacán,1.0,88.0,12.0,10536.0,f,0.9,0.79
29627260,824.0,206.0,4.0,Entire home/apt,Cuauhtémoc,2.0,231.0,12.0,9888.0,t,1.0,1.0
1146668544224076123,1919.0,479.75,4.0,Entire home/apt,Cuauhtémoc,2.0,89.0,144.0,276336.0,f,1.0,0.99
979306005464233175,1156.0,578.0,2.0,Entire home/apt,Cuauhtémoc,1.0,267.0,255.0,294780.0,f,1.0,1.0
1066200176537050962,5178.0,575.3333333333334,9.0,Entire home/apt,Miguel Hidalgo,1.0,349.0,30.0,155340.0,,1.0,1.0
45000351,1854.0,927.0,2.0,Entire home/apt,Cuauhtémoc,1.0,34.0,0.0,0.0,f,1.0,1.0
23018732,763.0,190.75,4.0,Entire home/apt,La Magdalena Contreras,2.0,0.0,18.0,13734.0,f,,1.0
